,DEPARTMENT,SECTION,LOCATION,DETAIL LOCATION,TANGGAL TERIMA BARANG,JENIS  MOBIL,BULAN ASET,TAHUN ASET,SPESIFIKASI,PIC LANGSUNG,HARGA BELI,MERK,TYPE,NOPOL,NOPOL LAMA,NO RANGKA,NO MESIN,TAHUN REGISTRASI,TAHUN PEMBUATAN,KETOGORI USIA,USIA,KEBERADAAN BPKB,NO BPKB,NAMA DI BPKB,ALAMAT BPKB,KEBERADAAN FAKTUR & SERTIFIKAT,NO FAKTUR,WARNA KABIN,WARNA BOX,WARNA PLAT,TIPE KAROSERI / BOX,PANJANG KAROSERI LUAR,LEBAR KAROSERI LUAR,TINGGI KAROSERI LUAR,KEBERADAAN PAJAK,NO PAJAK,NAMA PAJAK,ALAMAT PAJAK,STATUS STNK,NO STNK,NAMA STNK,ALAMAT STNK,VENDOR GPS,GPS,IMEI/SN,NO HP GPS,JENIS JARINGAN,PAJAK,STNK,BIAYA PAJAK,JATUH TEMPO PAJAK,JATUH TEMPO STNK,MONTH,NO KEUR,EXP KIR,JATUH TEMPO KIR,MONTH,STATUS KEUR,SO 1 JULI 25,KEY
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,HEAD OFFICE,JAKARTA,JAKARTA,,MOTOR,00,2002,,,,SUZUKI,RU 120,B 5090 IB,,MH8BF13BL2J-165721,F125-ID-165630,,2002,16 Tahun Lebih,24,ADA,C-2322094,ROVELT MILE,"JL. WEDANA DLM 15A RT002 RW001, KEL. MAPHAR, KEC. TAMAN SARI, JAKARTA BARAT",ADA,F2963583,BIRU SILVER,,HITAM,,,,,,,,,,,ROVELT MILE,"JL. WEDANA DLM 15A RT002 RW001, KEL. MAPHAR, KEC. TAMAN SARI, JAKARTA BARAT",,TIDAK ADA,MOTOR,,,24/04/2008,24/04/2012,Rp139.100,6.519,5.058,4,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,HEAD OFFICE,JAKARTA,JAKARTA,,MOTOR,00,2005,,,,SUZUKI,PD 110 XCD,B 6460 PEV,,MH8FD110C5J-213157,E405-ID-191752,,2005,16 Tahun Lebih,21,ADA,D-5697491,IKE LEIMEWA,"JL. CEMPAKA PUTIH UTARA RT004 RW001, CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",TIDAK ADA,M2444141,HITAM,,HITAM,,,,,,,,,,,IKE LEIMEWA,"JL. CEMPAKA PUTIH UTARA RT004 RW001, CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,TIDAK ADA,MOTOR,,,30/08/2020,30/08/2021,Rp145.400,2.008,1.643,8,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,GENERAL AFFAIR,JAKARTA,JAKARTA,,MOTOR,00,2019,,BAMBANG,,YAMAHA,4D7 (VEGA-R) 110CC,F 4351 KO,,MH34D70028J834187,4D7-834209,,2008,16 Tahun Lebih,18,ADA,E-9040537,DEDEN KURNIAWAN,"NANGGEWER MEKAR RT03 RW02, NANGGEWER, CIBINONG, KAB. BOGOR",ADA,24851/DB/JJ0017-0038,MERAH,,HITAM,,,,,,,,,,,DEDEN KURNIAWAN,"NANGGEWER MEKAR RT03 RW02, NANGGEWER, CIBINONG, KAB. BOGOR",,TIDAK ADA,MOTOR,,,08/04/2022,08/04/2023,,1.422,1.057,4,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-BANDA ACEH,AAM-BANDA ACEH,,PICK UP BOX,04,2020,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9631 PXS,,MHYHDC61TKJ-132891,K15BT-1113040,,2019,6-10 Tahun,7,ADA,Q-00832359,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4124077,PUTIH SILVER,,KUNING,ALUMUNIUM,250,175,182,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,TIDAK ADA,,,,13/05/2025,13/05/2025,Rp1.097.300,291,291,5,JKT2011817,30/04/2026,-61,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BALIKPAPAN,BALIKPAPAN,,CDE LONG,12,2015,,,,TOYOTA,DYNA 110 ST LONG,B 9507 PCK,,MHFC1JUX1F5026837,W04DTPJ62911,2015,2015,11-15 Tahun,11,ADA,M-03495614,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,IWF/00019/C1JU/2015,MERAH,,HITAM,BESI,421,186,214,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLK B3 JP,PALAPA,ADA - FULL SENSOR,,,,11/12/2025,11/12/2025,Rp4.090.700,79,79,12,JKT1603257,22/03/2026,-22,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,PALU,PALU,,PICK UP BOX,00,2015,,,,SUZUKI,GC415T (4X2) MT,B 9564 PCK,B 9734 PAH,MHYGDN41TFJ415480,G15AID367097,,2015,11-15 Tahun,11,ADA,M-03994834,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4748318,PUTIH SILVER,,HITAM,ALUMUNIUM,255,174,180,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,13/01/2026,13/01/2026,Rp2.081.600,46,46,1,JKT1604400,30/06/2026,-122,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,CONTRACT LOGISTICS,CABANG,TEMPO-MAKASSAR,TEMPO-MAKASSAR,,MOTOR,00,2019,,,,HONDA,NF11T11C01 M/T,DD 4688 QU,,MH1JBK119LK715623,JBK1E1711933,,2020,6-10 Tahun,6,TIDAK ADA,,BPKB TIDAK ADA,,,x,,,HITAM,,,,,,,,,,,BPKB TIDAK ADA,,,TIDAK ADA,MOTOR,,,04/02/2026,03/02/2026,Rp215.940,24,25,2,,,,,,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,PALU,PALU,,PICK UP BOX,00,2016,,,,SUZUKI,GC 415 T (4X2) M/T,B 9827 PAH,,MHYGDN41TFJ-418629,G15AID-370680,,2015,11-15 Tahun,11,ADA,M-07212364,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4769684,HITAM,,HITAM,BESI,225,167,36,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,03/03/2026,03/03/2026,Rp1.536.900,-3,-3,3,JKT1606108,12/06/2026,-104,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,24/03/2021,CDD LONG,02,2021,,,,MITSUBISHI,FE 84 G K (4X2) M/T,B 9081 TXV,,MHMFE84PWLK018868,4D34T-UY3594,,2020,6-10 Tahun,6,ADA,Q-06999814,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",ADA,001350/0221/01,MERAH,,KUNING,BESI,5.31,2.11,2.31,ADA,,,,ADA,,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036262323,08115939741C,,10/03/2026,10/03/2026,Rp947.500,-10,-10,3,JKT2104464,07/02/2026,21,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,PALEMBANG,PALEMBANG,24/03/2021,CDD LONG,02,2021,,,,MITSUBISHI,FE 84 G K (4X2) M/T,B 9078 TXV,,MHMFE84PWLK018789,4D34T-UY3174,,2020,6-10 Tahun,6,ADA,Q-06999650,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",ADA,001349/0221/01,MERAH,,KUNING,,,,,,,,,,,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048264949,085170146995C,,10/03/2026,10/03/2026,Rp947.500,-10,-10,3,JKT2104463,17/06/2026,-109,6,RESMI,,FLEET
